week,monitor,brick_kilns,industries,population_density,traffic
2,reg_33_11,0.0,-132.66371,-905.876003,-38.389568
2,reg_33_8,0.0,327.80601,-1481.180819,-36.412845
2,reg_35_21,0.0,-211.757969,12.963241,-32.929358
2,reg_37_29,0.0,106.105194,-1103.915362,-50.353418
2,reg_39_25,0.0,-188.318127,-1122.970742,-47.877157
2,reg_39_28,0.0,-217.729085,-1405.716778,-51.907969
2,reg_5_14,0.0,266.876406,734.507961,-26.644429
3,reg_0_19,-1.091652,0.0,-31.055388,0.0
3,reg_11_0,-3.165036,0.0,-47.628163,0.0
3,reg_11_39,4.301618,0.0,-87.055093,0.0
3,reg_12_13,1.61901,0.0,242.759114,0.0
3,reg_12_37,11.522576,0.0,-66.914896,0.0
3,reg_14_28,-2.996507,0.0,199.607581,0.0
3,reg_16_24,-2.011873,0.0,16.200407,0.0
3,reg_16_25,-2.660712,0.0,123.814688,0.0
3,reg_18_32,3.076781,0.0,135.991482,0.0
3,reg_19_37,0.350937,0.0,-76.793915,0.0
3,reg_21_13,-3.503572,0.0,68.726808,0.0
3,reg_21_31,-0.79688,0.0,-51.244695,0.0
3,reg_23_23,-3.737797,0.0,16.629017,0.0
3,reg_25_11,-0.465803,0.0,6.556428,0.0
3,reg_27_17,-2.234071,0.0,-6.988466,0.0
3,reg_28_15,-0.575448,0.0,-2.138678,0.0
3,reg_28_20,19.351197,0.0,-23.053673,0.0
3,reg_30_14,7.555307,0.0,1.117239,0.0
3,reg_30_22,-2.396385,0.0,-9.786582,0.0
3,reg_30_33,-3.416176,0.0,-87.321279,0.0
3,reg_32_4,-1.659003,0.0,-59.890543,0.0
3,reg_33_11,-2.713029,0.0,-48.638777,0.0
3,reg_33_8,-3.165263,0.0,-89.364529,0.0
3,reg_35_21,-2.453144,0.0,-10.710844,0.0
3,reg_37_29,-1.087857,0.0,-62.457747,0.0
3,reg_39_25,-3.460208,0.0,-82.517655,0.0
3,reg_39_28,-2.28683,0.0,-76.89388,0.0
3,reg_5_14,-1.90018,0.0,109.05204,0.0
4,reg_0_19,-27.421476,-7.065071,0.0,0.0
4,reg_11_0,-80.081031,-7.919522,0.0,0.0
4,reg_11_39,130.073721,-0.988813,0.0,0.0
4,reg_12_13,-28.045941,4.467489,0.0,0.0
4,reg_12_37,210.543025,11.566189,0.0,0.0
4,reg_14_28,-58.680922,-4.329771,0.0,0.0
4,reg_16_24,-29.39852,-2.480201,0.0,0.0
4,reg_16_25,-65.948471,-5.784498,0.0,0.0
4,reg_18_32,-79.145391,19.27505,0.0,0.0
4,reg_19_37,-51.102963,-3.193174,0.0,0.0
4,reg_21_13,-10.229209,0.971971,0.0,0.0
4,reg_21_31,-73.05319,-2.262313,0.0,0.0
4,reg_23_23,-67.895559,-5.67431,0.0,0.0
4,reg_25_11,-42.791633,-0.777219,0.0,0.0
4,reg_27_17,-1.440142,-0.463551,0.0,0.0
4,reg_28_15,25.879114,-1.864181,0.0,0.0
4,reg_28_20,552.629726,-1.504439,0.0,0.0
4,reg_30_14,214.023375,-2.503206,0.0,0.0
4,reg_30_22,-37.161195,-3.298845,0.0,0.0
4,reg_30_33,-59.644711,-7.135732,0.0,0.0
4,reg_32_4,-14.256627,13.679406,0.0,0.0
4,reg_33_11,-51.413475,-3.229462,0.0,0.0
4,reg_33_8,-57.179217,10.804208,0.0,0.0
4,reg_35_21,-40.449109,-5.221705,0.0,0.0
4,reg_37_29,-73.820408,5.143129,0.0,0.0
4,reg_39_25,-73.871751,-5.79355,0.0,0.0
4,reg_39_28,-52.733862,-3.311361,0.0,0.0
4,reg_5_14,-57.384158,8.893483,0.0,0.0
